
Date	Price	Open	High	Low	Vol.	Change %
2-03-2015	512.88	494.38	515.62	493.38	-	4.06%
2-02-2015	492.88	502.25	505.38	492.38	-	-2.06%
1-30-2015	503.25	507.62	511.62	497.38	-	-0.89%
1-29-2015	507.75	505.62	512.12	501.00	-	0.47%
1-28-2015	505.38	519.25	520.38	503.12	-	-2.60%
1-27-2015	518.88	520.12	524.00	517.62	-	-0.17%
1-26-2015	519.75	529.25	534.62	519.38	-	-1.79%
1-23-2015	529.25	532.88	535.88	526.88	-	-0.84%
1-22-2015	533.75	536.25	542.38	532.62	-	-0.40%
1-21-2015	535.88	537.38	544.38	535.62	-	0.09%
1-20-2015	535.38	532.25	539.62	523.12	-	0.75%
1-16-2015	531.38	536.25	541.88	531.38	-	-0.47%
1-15-2015	533.88	540.12	544.88	528.12	-	-0.79%
1-14-2015	538.12	548.50	549.62	536.12	-	-1.76%
1-13-2015	547.75	556.12	566.62	547.38	-	-1.35%
1-12-2015	555.25	564.00	566.38	554.88	-	-1.27%
1-09-2015	562.38	568.00	573.88	562.12	-	-0.88%
1-08-2015	567.38	580.50	580.50	566.00	-	-2.03%
1-07-2015	579.12	594.38	594.38	578.88	-	-2.20%
1-06-2015	592.12	587.75	603.50	586.38	-	0.59%
1-05-2015	588.62	579.88	597.38	579.38	-	1.29%
1-02-2015	581.12	589.38	589.38	574.88	-	-1.48%
12-31-2014	589.88	601.38	604.62	586.50	-	-2.22%
12-30-2014	603.25	614.75	615.38	601.12	-	-1.81%
12-29-2014	614.38	612.50	620.62	608.12	-	0.84%
12-28-2014	609.25	609.25	609.25	609.25	-	0.00%
12-26-2014	609.25	614.75	616.50	607.38	-	-0.18%
12-24-2014	610.38	636.00	639.62	606.88	-	-4.09%
12-23-2014	636.38	623.50	636.88	621.12	-	1.84%
12-22-2014	624.88	629.75	644.50	621.12	-	-1.26%
12-21-2014	632.88	632.88	632.88	632.88	-	0.00%
12-19-2014	632.88	653.62	654.25	629.50	-	-3.14%
12-18-2014	653.38	646.62	676.88	645.88	-	0.69%
12-17-2014	648.88	623.75	649.88	617.12	-	4.47%
12-16-2014	621.12	616.38	638.88	615.25	-	0.51%
12-15-2014	618.00	606.25	622.62	599.88	-	2.02%
12-14-2014	605.75	605.75	605.75	605.75	-	0.00%
12-12-2014	605.75	596.62	613.12	593.62	-	1.61%
12-11-2014	596.12	581.62	599.88	573.38	-	2.40%
12-10-2014	582.12	585.00	585.00	575.38	-	-0.66%
12-09-2014	586.00	595.50	596.12	584.12	-	-1.74%
12-08-2014	596.38	593.12	605.62	588.12	-	0.51%
12-07-2014	593.38	593.38	593.38	593.38	-	0.00%
12-05-2014	593.38	589.12	595.38	582.12	-	0.76%
12-04-2014	588.88	589.88	591.62	577.62	-	-0.13%
12-03-2014	589.62	603.88	606.38	585.38	-	-2.28%
12-02-2014	603.38	605.38	611.50	596.88	-	-0.62%
12-01-2014	607.12	576.88	607.62	570.38	-	4.97%
11-30-2014	578.38	578.38	578.38	578.38	-	0.00%
11-28-2014	578.38	559.25	580.62	558.38	-	2.87%
11-27-2014	562.25	562.25	562.25	562.25	-	0.00%
11-26-2014	562.25	558.00	565.38	555.62	-	0.65%
11-25-2014	558.62	549.38	558.88	546.12	-	1.73%
11-24-2014	549.12	553.38	556.88	548.62	-	0.46%
11-21-2014	546.62	547.12	552.88	540.88	-	-0.09%
11-20-2014	547.12	537.00	547.88	532.12	-	1.65%
11-19-2014	538.25	549.12	549.25	535.12	-	-2.03%
11-18-2014	549.38	552.12	553.00	544.38	-	-0.52%
11-17-2014	552.25	559.38	563.12	551.12	-	-1.49%
11-14-2014	560.62	552.88	564.62	549.12	-	1.26%
11-13-2014	553.62	541.75	558.88	537.12	-	2.22%
11-12-2014	541.62	524.50	545.62	522.88	-	3.36%
11-11-2014	524.00	517.50	526.38	511.88	-	0.94%
11-10-2014	519.12	514.12	523.75	511.38	-	0.90%
11-07-2014	514.50	517.75	518.62	511.38	-	-1.13%
11-06-2014	520.38	524.88	527.88	520.12	-	-0.83%
11-05-2014	524.75	531.38	532.38	518.88	-	-1.39%
11-04-2014	532.12	537.88	538.62	529.12	-	-1.30%
11-03-2014	539.12	535.62	539.12	526.88	-	1.48%
10-31-2014	531.25	535.12	538.88	523.12	-	-0.86%
10-30-2014	535.88	538.50	545.25	532.88	-	-0.51%
10-29-2014	538.62	530.88	540.38	527.75	-	1.34%
10-28-2014	531.50	524.00	532.88	523.50	-	1.53%
10-27-2014	523.50	515.88	526.38	510.62	-	0.96%
10-24-2014	518.50	525.50	539.12	517.38	-	-1.52%
10-23-2014	526.50	520.88	530.38	519.25	-	0.74%
10-22-2014	522.62	520.50	528.38	516.12	-	0.55%
10-21-2014	519.75	513.88	523.62	512.50	-	1.19%
10-20-2014	513.62	515.38	515.62	507.38	-	-0.44%
10-17-2014	515.88	517.88	522.12	512.88	-	-0.41%
10-16-2014	518.00	506.25	518.12	502.88	-	2.02%
10-15-2014	507.75	509.88	516.00	501.62	-	-0.32%
10-14-2014	509.38	505.00	509.50	498.38	-	0.84%
10-13-2014	505.12	498.38	506.12	495.62	-	1.28%
10-10-2014	498.75	493.50	508.38	488.62	-	1.09%
10-09-2014	493.38	508.12	508.12	492.12	-	-2.86%
10-08-2014	507.88	507.12	511.62	502.12	-	0.20%
10-07-2014	506.88	490.88	509.38	489.38	-	3.15%
10-06-2014	491.38	485.62	494.62	485.00	-	1.08%
10-03-2014	486.12	483.38	488.88	478.12	-	0.49%
10-02-2014	483.75	478.00	489.62	477.50	-	1.07%
10-01-2014	478.62	477.62	483.62	469.62	-	0.00%
9-30-2014	478.62	480.62	481.75	468.12	-	-0.47%
9-29-2014	480.88	470.88	482.38	470.75	-	1.26%
9-26-2014	474.88	473.50	476.12	469.00	-	0.13%
9-25-2014	474.25	480.12	483.50	466.38	-	-1.28%
9-24-2014	480.38	474.25	484.62	473.62	-	0.97%
9-23-2014	475.75	476.75	479.38	471.12	-	-0.18%
9-22-2014	476.62	476.50	480.62	469.38	-	0.55%
9-19-2014	474.00	487.88	488.12	473.88	-	-2.89%
9-18-2014	488.12	496.12	498.62	487.88	-	-2.25%
9-17-2014	499.38	495.88	501.12	494.12	-	0.50%
9-16-2014	496.88	499.12	508.25	492.38	-	-0.70%
9-15-2014	500.38	501.25	503.88	496.12	-	-0.42%
9-12-2014	502.50	507.88	509.38	500.12	-	-1.30%
9-11-2014	509.12	518.12	519.00	502.88	-	-2.02%
9-10-2014	519.62	528.62	529.12	519.25	-	-1.75%
9-09-2014	528.88	533.38	533.38	523.62	-	-0.91%
9-08-2014	533.75	534.62	539.12	524.38	-	-0.30%
9-05-2014	535.38	531.38	541.50	528.38	-	1.04%
9-04-2014	529.88	535.88	536.88	527.75	-	-1.03%
9-03-2014	535.38	555.00	556.12	535.12	-	-3.49%
9-02-2014	554.75	561.88	565.88	550.88	-	-1.53%
8-29-2014	563.38	570.38	578.62	561.38	-	-1.31%
8-28-2014	570.88	562.38	578.62	559.12	-	1.69%
8-27-2014	561.38	555.00	562.88	550.88	-	0.99%
8-26-2014	555.88	553.38	557.88	546.88	-	0.04%
8-25-2014	555.62	559.88	564.88	552.62	-	1.16%
8-22-2014	549.25	545.75	562.38	545.75	-	0.50%
8-21-2014	546.50	539.62	549.62	536.88	-	1.30%
8-20-2014	539.50	546.12	549.25	534.38	-	-1.30%
8-19-2014	546.62	540.75	555.88	536.25	-	0.78%
8-18-2014	542.38	549.75	551.25	540.62	-	-1.68%
8-15-2014	551.62	535.88	555.88	533.62	-	2.89%
8-14-2014	536.12	528.50	539.12	528.12	-	1.66%
8-13-2014	527.38	538.50	544.38	527.38	-	-2.02%
8-12-2014	538.25	546.62	546.88	534.50	-	-1.55%
8-11-2014	546.75	548.38	556.38	542.88	-	-0.21%
8-08-2014	547.88	561.12	561.12	547.12	-	-2.45%
8-07-2014	561.62	567.62	567.88	558.62	-	-1.06%
8-06-2014	567.62	553.12	571.88	553.12	-	2.81%
8-05-2014	552.12	543.88	554.12	538.12	-	1.33%
8-04-2014	544.88	534.62	553.12	534.62	-	2.08%
8-03-2014	533.75	533.75	533.75	533.75	-	0.00%
8-01-2014	533.75	531.25	543.88	530.62	-	0.64%
7-31-2014	530.38	526.38	536.12	523.50	-	0.45%
7-30-2014	528.00	521.62	528.88	519.88	-	1.42%
7-29-2014	520.62	534.38	535.50	518.62	-	-2.66%
7-28-2014	534.88	539.00	543.12	532.12	-	-0.51%
7-25-2014	537.62	528.88	538.38	526.62	-	1.63%
7-24-2014	529.00	530.62	541.88	526.12	-	-0.17%
7-23-2014	529.88	524.38	530.88	521.62	-	0.95%
7-22-2014	524.88	529.50	536.62	524.12	-	-1.01%
7-21-2014	530.25	530.12	531.12	523.88	-	-0.28%
7-18-2014	531.75	552.12	555.62	531.12	-	-3.54%
7-17-2014	551.25	537.88	561.38	530.88	-	2.46%
7-16-2014	538.00	537.38	544.38	535.88	-	-0.05%
7-15-2014	538.25	537.88	539.38	530.62	-	-0.02%
7-14-2014	538.38	527.38	538.88	524.25	-	2.38%
7-11-2014	525.88	547.50	549.62	525.12	-	-4.15%
7-10-2014	548.62	551.88	555.88	546.38	-	-0.48%
7-09-2014	551.25	556.12	558.00	547.75	-	-0.83%
7-08-2014	555.88	557.75	560.88	555.62	-	-0.43%
7-07-2014	558.25	579.50	584.25	556.12	-	-3.67%
7-06-2014	579.50	579.50	579.50	579.50	-	0.00%
7-03-2014	579.50	576.38	580.62	572.12	-	0.50%
7-02-2014	576.62	573.88	576.62	568.88	-	0.61%
7-01-2014	573.12	578.62	580.88	569.38	-	-0.63%
6-30-2014	576.75	591.62	592.38	568.75	-	-2.72%
6-27-2014	592.88	584.62	597.38	583.88	-	1.45%
6-26-2014	584.38	584.38	589.88	579.88	-	0.04%
6-25-2014	584.12	580.12	584.62	577.12	-	0.71%
6-24-2014	580.00	589.25	589.25	579.38	-	-1.55%
6-23-2014	589.12	594.62	600.88	587.38	-	0.73%
6-20-2014	584.88	592.88	594.62	582.88	-	-1.52%
6-19-2014	593.88	586.25	595.88	585.88	-	1.30%
6-18-2014	586.25	581.62	597.88	581.62	-	0.82%
6-17-2014	581.50	581.50	584.62	576.88	-	0.19%
6-16-2014	580.38	585.75	594.62	580.38	-	-0.81%
6-13-2014	585.12	585.88	594.38	583.62	-	0.04%
6-12-2014	584.88	588.38	593.38	584.88	-	-0.68%
6-11-2014	588.88	602.12	608.38	588.62	-	-2.04%
6-10-2014	601.12	614.12	615.75	599.38	-	-2.14%
6-09-2014	614.25	617.12	626.12	607.62	-	-0.83%
6-06-2014	619.38	605.88	619.38	603.25	-	2.35%
6-05-2014	605.12	614.38	617.25	605.12	-	-1.43%
6-04-2014	613.88	611.88	619.38	611.12	-	0.29%
6-03-2014	612.12	621.62	623.88	611.12	-	-1.33%
6-02-2014	620.38	625.75	626.12	616.38	-	-1.23%
5-30-2014	628.12	633.50	636.62	625.62	-	-0.65%
5-29-2014	632.25	638.50	644.62	629.88	-	-1.00%
5-28-2014	638.62	638.38	641.62	633.12	-	-0.35%
5-27-2014	640.88	644.88	648.38	640.38	-	-1.69%
5-23-2014	651.88	660.38	663.38	651.38	-	-1.17%
5-22-2014	659.62	665.62	669.38	654.62	-	-0.57%
5-21-2014	663.38	668.38	675.62	663.38	-	-0.86%
5-20-2014	669.12	674.75	685.88	666.25	-	-0.89%
5-19-2014	675.12	671.50	677.62	663.88	-	0.04%
5-16-2014	674.88	678.88	682.75	670.62	-	-0.44%
5-15-2014	677.88	690.88	690.88	676.88	-	-1.81%
5-14-2014	690.38	709.50	709.50	687.88	-	-2.71%
5-13-2014	709.62	713.88	715.12	704.12	-	-0.73%
5-12-2014	714.88	722.25	722.25	703.75	-	-1.09%
5-11-2014	722.75	722.75	722.75	722.75	-	0.00%
5-09-2014	722.75	734.00	738.88	722.12	-	-1.62%
5-08-2014	734.62	735.00	737.62	727.88	-	-0.58%
5-07-2014	738.88	736.75	739.62	727.25	-	0.03%
5-06-2014	738.62	732.62	743.88	723.88	-	1.55%
5-05-2014	727.38	723.12	740.00	721.62	-	1.59%
5-02-2014	716.00	709.50	720.62	706.12	-	1.04%
5-01-2014	708.62	723.25	724.38	701.38	-	-1.78%
4-30-2014	721.50	715.25	724.62	710.75	-	0.82%
4-29-2014	715.62	709.25	716.88	704.38	-	0.95%
4-28-2014	708.88	708.88	716.88	697.38	-	1.14%
4-25-2014	700.88	689.25	701.62	687.62	-	1.52%
4-24-2014	690.38	676.88	695.62	671.62	-	2.07%
4-23-2014	676.38	673.50	679.38	667.88	-	0.59%
4-22-2014	672.38	668.38	677.00	662.50	-	0.52%
4-21-2014	668.88	690.50	690.50	662.88	-	-3.10%
4-17-2014	690.25	687.62	701.38	686.38	-	0.33%
4-16-2014	688.00	700.88	710.88	684.62	-	-1.94%
4-15-2014	701.62	677.50	702.62	673.88	-	3.47%
4-14-2014	678.12	665.25	688.50	665.12	-	2.88%
4-11-2014	659.12	663.25	666.50	656.62	-	-0.47%
4-10-2014	662.25	669.25	670.88	656.38	-	-0.90%
4-09-2014	668.25	681.75	687.88	664.12	-	-1.62%
4-08-2014	679.25	676.38	684.88	668.25	-	0.39%
4-07-2014	676.62	670.50	679.38	665.62	-	0.95%
4-04-2014	670.25	674.12	676.25	658.88	-	-0.74%
4-03-2014	675.25	669.25	677.38	666.62	-	0.99%
4-02-2014	668.62	687.25	687.62	665.12	-	-2.44%
4-01-2014	685.38	695.88	697.62	683.62	-	-1.69%
3-31-2014	697.12	697.12	701.88	677.00	-	0.29%
3-28-2014	695.12	707.88	708.25	693.62	-	-2.16%
3-27-2014	710.50	696.50	713.38	692.12	-	1.88%
3-26-2014	697.38	708.88	711.62	694.88	-	-1.69%
3-25-2014	709.38	714.62	716.38	706.62	-	-0.56%
3-24-2014	713.38	692.50	718.12	687.25	-	3.05%
3-21-2014	692.25	705.38	707.12	692.12	-	-2.00%
3-20-2014	706.38	714.62	722.88	694.38	-	-1.29%
3-19-2014	715.62	691.38	718.38	686.12	-	3.43%
3-18-2014	691.88	676.25	693.38	672.50	-	2.56%
3-17-2014	674.62	686.38	694.12	672.62	-	-1.75%
3-14-2014	686.62	672.62	690.88	669.88	-	2.16%
3-13-2014	672.12	682.38	696.25	671.12	-	-1.75%
3-12-2014	684.12	658.50	684.38	652.12	-	3.95%
3-11-2014	658.12	639.50	667.38	637.12	-	2.89%
3-10-2014	639.62	654.88	656.38	639.25	-	-2.12%
3-07-2014	653.50	646.00	662.88	644.38	-	1.06%
3-06-2014	646.62	640.88	648.88	636.38	-	0.98%
3-05-2014	640.38	641.00	644.38	636.12	-	-0.45%
3-04-2014	643.25	632.00	644.62	621.12	-	1.38%
3-03-2014	634.50	623.62	644.12	615.00	-	5.68%
2-28-2014	600.38	590.25	604.88	590.12	-	1.69%
2-27-2014	590.38	606.00	606.88	588.38	-	-2.48%
2-26-2014	605.38	617.38	618.38	605.12	-	-1.92%
2-25-2014	617.25	617.00	619.75	605.12	-	0.00%
2-24-2014	617.25	602.50	617.38	600.75	-	1.21%
2-21-2014	609.88	616.25	617.38	609.38	-	-0.97%
2-20-2014	615.88	618.88	620.75	611.62	-	-0.73%
2-19-2014	620.38	611.88	620.38	609.88	-	1.35%
2-18-2014	612.12	599.25	613.12	598.88	-	2.45%
2-14-2014	597.50	594.88	602.88	594.50	-	0.50%
2-13-2014	594.50	586.38	596.62	585.38	-	1.47%
2-12-2014	585.88	589.25	598.00	585.88	-	-0.55%
2-11-2014	589.12	585.12	590.88	582.88	-	0.62%
2-10-2014	585.50	574.50	590.50	570.62	-	1.34%
2-07-2014	577.75	582.12	585.88	567.38	-	-0.37%
2-06-2014	579.88	586.75	592.88	579.62	-	-1.21%
2-05-2014	587.00	584.38	588.62	579.12	-	0.28%
2-04-2014	585.38	563.62	585.62	562.12	-	3.81%
2-03-2014	563.88	554.88	564.12	554.12	-	1.60%
1-31-2014	555.00	554.12	557.38	551.38	-	0.23%
1-30-2014	553.75	552.00	556.62	550.38	-	0.52%
1-29-2014	550.88	566.62	566.88	550.75	-	-2.65%
1-28-2014	565.88	564.12	568.88	564.12	-	0.35%
1-27-2014	563.88	567.12	572.12	563.12	-	-0.42%
1-24-2014	566.25	571.12	573.12	562.62	-	-0.64%
1-23-2014	569.88	561.62	577.62	561.62	-	1.56%
1-22-2014	561.12	562.62	566.62	560.88	-	-0.13%
1-21-2014	561.88	565.12	567.62	560.88	-	-0.18%
1-17-2014	562.88	572.88	574.25	562.88	-	-1.62%
1-16-2014	572.12	568.38	573.62	564.12	-	0.84%
1-15-2014	567.38	579.50	579.62	566.88	-	-2.07%
1-14-2014	579.38	571.38	579.62	570.62	-	1.13%
1-13-2014	572.88	571.75	575.88	570.12	-	0.84%
1-10-2014	568.12	584.38	590.25	560.88	-	-2.80%
1-09-2014	584.50	588.12	590.75	578.38	-	-0.53%
1-08-2014	587.62	603.12	607.12	587.38	-	-2.45%
1-07-2014	602.38	606.38	609.88	601.88	-	-0.62%
1-06-2014	606.12	608.12	612.38	605.12	-	-0.08%
1-03-2014	606.62	596.88	608.88	596.38	-	1.65%
1-02-2014	596.75	605.00	605.00	595.88	-	-1.38%
1-01-2014	605.12	605.12	605.12	605.12	-	0.00%
12-31-2013	605.12	601.62	607.12	599.38	-	0.83%
12-30-2013	600.12	608.00	609.00	600.12	-	-1.32%
12-27-2013	608.12	608.12	609.88	603.38	-	0.39%
12-26-2013	605.75	606.38	606.62	600.88	-	-0.10%
12-24-2013	606.38	610.38	611.62	605.88	-	-0.47%
12-23-2013	609.25	614.50	615.12	608.38	-	-0.71%
12-20-2013	613.62	610.38	615.62	607.38	-	0.57%
12-19-2013	610.12	614.88	621.12	610.12	-	-0.37%
12-18-2013	612.38	618.62	618.88	612.38	-	-1.05%
12-17-2013	618.88	622.38	626.62	618.88	-	-0.44%
12-16-2013	621.62	628.62	628.62	621.12	-	-1.19%
12-13-2013	629.12	633.38	634.88	626.88	-	-0.67%
12-12-2013	633.38	641.00	642.50	630.38	-	-1.21%
12-11-2013	641.12	639.88	643.38	635.38	-	0.25%
12-10-2013	639.50	649.88	652.12	635.12	-	-1.69%
12-09-2013	650.50	651.62	657.12	649.38	-	-0.04%
12-06-2013	650.75	652.12	654.88	649.38	-	-0.13%
12-05-2013	651.62	662.62	662.88	650.62	-	-1.57%
12-04-2013	662.00	668.38	672.12	661.38	-	-1.03%
12-03-2013	668.88	663.88	669.12	662.12	-	0.91%
12-02-2013	662.88	668.88	674.62	660.62	-	-0.80%
11-29-2013	668.25	668.50	670.62	665.12	-	0.55%
11-27-2013	664.62	656.62	666.88	656.38	-	1.35%
11-26-2013	655.75	659.00	660.62	653.38	-	-0.57%
11-25-2013	659.50	658.62	662.38	657.38	-	0.50%
11-24-2013	656.25	656.25	656.25	656.25	-	1.12%
11-22-2013	649.00	649.38	653.62	648.62	-	0.06%
11-21-2013	648.62	647.88	653.38	647.38	-	0.33%
11-20-2013	646.50	650.00	654.62	646.38	-	-0.54%
11-19-2013	650.00	642.75	651.12	642.75	-	1.19%
11-18-2013	642.38	646.25	649.62	642.38	-	-0.21%
11-15-2013	643.75	646.00	648.38	642.88	-	-0.17%
11-14-2013	644.88	645.88	652.88	644.38	-	-0.06%
11-13-2013	645.25	646.38	648.88	643.62	-	0.04%
11-12-2013	645.00	647.00	651.88	644.88	-	-0.19%
11-11-2013	646.25	651.12	659.38	646.00	-	-0.27%
11-08-2013	648.00	653.50	657.75	645.50	-	-0.82%
11-07-2013	653.38	654.00	657.12	652.38	-	-0.04%
11-06-2013	653.62	657.00	660.38	652.38	-	-0.44%
11-05-2013	656.50	662.62	665.12	655.25	-	-1.04%
11-04-2013	663.38	666.50	671.38	662.12	-	-0.56%
11-01-2013	667.12	667.75	672.12	664.62	-	-0.04%
10-31-2013	667.38	675.12	676.88	667.12	-	-1.00%
10-30-2013	674.12	684.88	686.00	674.12	-	-1.12%
10-29-2013	681.75	681.25	684.62	676.38	-	0.13%
10-28-2013	680.88	688.88	691.12	680.88	-	-1.55%
10-25-2013	691.62	696.38	701.88	690.38	-	-0.70%
10-24-2013	696.50	701.25	707.88	696.12	-	-0.75%
10-23-2013	701.75	700.75	710.38	699.75	-	0.16%
10-22-2013	700.62	699.12	704.12	696.12	-	0.25%
10-21-2013	698.88	706.12	711.12	694.12	-	-0.90%
10-18-2013	705.25	686.38	706.38	686.12	-	2.86%
10-17-2013	685.62	681.25	693.12	680.75	-	0.66%
10-16-2013	681.12	686.12	687.88	678.38	-	-0.66%
10-15-2013	685.62	691.88	693.62	685.38	-	-0.90%
10-14-2013	691.88	691.62	696.12	686.38	-	-0.02%
10-11-2013	692.00	684.62	695.38	682.38	-	1.02%
10-10-2013	685.00	691.12	695.62	684.12	-	-0.74%
10-09-2013	690.12	692.50	694.62	687.38	-	-0.43%
10-08-2013	693.12	694.12	699.62	688.12	-	-0.27%
10-07-2013	695.00	686.88	696.12	686.50	-	1.22%
10-04-2013	686.62	688.75	692.62	684.38	-	-0.29%
10-03-2013	688.62	685.75	697.88	685.50	-	0.38%
10-02-2013	686.00	681.00	689.62	678.00	-	0.38%
10-01-2013	683.38	678.12	683.38	672.62	-	0.63%
9-30-2013	679.12	681.00	694.00	676.88	-	-0.29%
9-27-2013	681.12	677.62	685.38	675.50	-	0.37%
9-26-2013	678.62	670.12	678.88	668.62	-	1.34%
9-25-2013	669.62	657.88	674.88	657.88	-	1.82%
9-24-2013	657.62	653.75	659.88	649.62	-	0.57%
9-23-2013	653.88	646.12	656.62	645.38	-	1.24%
9-20-2013	645.88	656.62	659.12	643.88	-	-1.58%
9-19-2013	656.25	647.38	662.38	646.62	-	1.67%
9-18-2013	645.50	642.38	647.88	642.00	-	0.47%
9-17-2013	642.50	641.62	651.00	641.38	-	0.25%
9-16-2013	640.88	641.12	648.62	638.62	-	0.06%
9-13-2013	640.50	652.62	652.62	640.12	-	-1.90%
9-12-2013	652.88	648.12	654.12	637.50	-	0.77%
9-11-2013	647.88	647.62	652.12	642.12	-	0.25%
9-10-2013	646.25	641.50	648.12	640.12	-	0.84%
9-09-2013	640.88	648.38	651.38	639.62	-	-1.04%
9-06-2013	647.62	639.12	652.88	638.25	-	1.29%
9-05-2013	639.38	645.75	646.25	637.12	-	-1.08%
9-04-2013	646.38	647.25	647.25	640.12	-	-0.17%
9-03-2013	647.50	663.00	663.62	645.38	-	-1.13%
8-30-2013	654.88	654.12	658.62	650.38	-	0.08%
8-29-2013	654.38	660.25	663.50	652.12	-	-0.91%
8-28-2013	660.38	665.12	669.38	658.62	-	-0.43%
8-27-2013	663.25	666.12	670.25	661.12	-	-0.58%
8-26-2013	667.12	651.88	676.38	651.62	-	5.27%
8-23-2013	633.75	629.00	637.88	628.50	-	0.52%
8-22-2013	630.50	640.38	640.38	629.88	-	-1.23%
8-21-2013	638.38	635.12	646.62	634.38	-	0.61%
8-20-2013	634.50	641.38	643.75	634.12	-	-0.94%
8-19-2013	640.50	636.50	642.38	635.25	-	1.43%
8-16-2013	631.50	637.75	641.12	626.62	-	-0.96%
8-15-2013	637.62	631.12	641.12	629.12	-	1.15%
8-14-2013	630.38	626.62	631.75	623.12	-	0.46%
8-13-2013	627.50	635.88	643.38	626.38	-	-1.22%
8-12-2013	635.25	633.25	644.88	630.12	-	0.26%
8-09-2013	633.62	642.00	644.88	630.62	-	-1.17%
8-08-2013	641.12	642.50	647.88	640.00	-	-0.43%
8-07-2013	643.88	650.25	652.88	639.12	-	-0.94%
8-06-2013	650.00	646.12	651.00	642.38	-	0.74%
8-05-2013	645.25	659.50	665.38	641.62	-	-2.27%
8-02-2013	660.25	657.75	667.12	656.50	-	0.17%
8-01-2013	659.12	663.38	667.38	648.38	-	-0.68%
7-31-2013	663.62	654.38	665.50	653.62	-	1.16%
7-30-2013	656.00	650.38	662.38	650.12	-	0.75%
7-29-2013	651.12	650.38	655.88	648.62	-	0.29%
7-26-2013	649.25	648.75	657.38	648.12	-	0.13%
7-25-2013	648.38	652.62	656.38	648.12	-	-0.73%
7-24-2013	653.12	653.88	661.62	653.12	-	-0.23%
7-23-2013	654.62	659.25	659.38	650.62	-	-0.80%
7-22-2013	659.88	666.38	667.75	655.12	-	-0.60%
7-19-2013	663.88	660.88	669.88	658.12	-	0.42%
7-18-2013	661.12	664.25	667.12	656.62	-	-0.62%
7-17-2013	665.25	669.50	674.00	664.12	-	-0.60%
7-16-2013	669.25	671.50	681.25	665.62	-	-0.04%
7-15-2013	669.50	677.12	677.62	667.62	-	-1.69%
7-12-2013	681.00	683.12	687.50	679.88	-	-0.20%
7-11-2013	682.38	679.12	692.88	676.00	-	0.63%
7-10-2013	678.12	676.12	682.12	668.62	-	0.26%
7-09-2013	676.38	662.88	682.62	662.50	-	2.11%
7-08-2013	662.38	659.00	671.25	659.00	-	0.38%
7-05-2013	659.88	670.88	672.38	659.38	-	-0.92%
7-04-2013	666.00	666.00	666.00	666.00	-	0.00%
7-03-2013	666.00	658.12	671.38	658.12	-	1.47%
7-02-2013	656.38	656.00	667.88	652.38	-	-0.04%
7-01-2013	656.62	655.50	663.75	652.88	-	-0.04%
6-28-2013	656.88	673.12	678.12	656.12	-	-2.38%
6-27-2013	672.88	677.00	683.12	672.88	-	-0.55%
6-26-2013	676.62	684.75	690.12	676.12	-	-1.24%
6-25-2013	685.12	687.88	694.62	684.88	-	-0.38%
6-24-2013	687.75	700.88	701.75	685.12	-	-1.45%
6-21-2013	697.88	700.38	704.38	696.12	-	-0.29%
6-20-2013	699.88	703.88	707.62	695.12	-	-0.74%
6-19-2013	705.12	684.50	710.62	682.62	-	2.66%
6-18-2013	686.88	681.50	689.38	680.88	-	0.51%
6-17-2013	683.38	677.88	688.62	674.75	-	0.33%
6-14-2013	681.12	685.50	685.50	676.62	-	-0.66%
6-13-2013	685.62	683.38	686.62	675.12	-	0.55%
6-12-2013	681.88	694.25	696.62	679.12	-	-2.05%
6-11-2013	696.12	690.12	699.62	686.88	-	0.85%
6-10-2013	690.25	693.25	693.50	680.62	-	-0.86%
6-07-2013	696.25	696.88	703.12	694.38	-	-0.32%
6-06-2013	698.50	701.62	706.12	693.62	-	-0.41%
6-05-2013	701.38	710.50	712.38	701.12	-	-1.16%
6-04-2013	709.62	707.50	712.88	700.12	-	0.04%
6-03-2013	709.38	707.75	714.38	692.62	-	0.39%
5-31-2013	706.62	697.38	707.38	692.88	-	1.25%
5-30-2013	697.88	699.12	702.25	687.62	-	-0.36%
5-29-2013	700.38	693.50	703.88	688.88	-	0.99%
5-28-2013	693.50	697.88	704.88	687.88	-	-0.41%
5-24-2013	696.38	704.38	707.25	696.38	-	-1.22%
5-23-2013	705.00	687.62	708.88	687.12	-	2.64%
5-22-2013	686.88	680.50	692.62	680.12	-	1.03%
5-21-2013	679.88	683.38	684.12	674.12	-	-0.93%
5-20-2013	686.25	681.38	688.00	674.62	-	0.53%
5-17-2013	682.62	688.38	689.62	680.62	-	-0.91%
5-16-2013	688.88	694.12	698.88	681.62	-	-0.72%
5-15-2013	693.88	710.88	711.12	692.62	-	-2.60%
5-14-2013	712.38	709.25	716.62	706.88	-	0.42%
5-13-2013	709.38	701.88	718.62	701.62	-	0.84%
5-10-2013	703.50	722.62	724.00	702.38	-	-2.85%
5-09-2013	724.12	704.88	727.50	702.88	-	2.64%
5-08-2013	705.50	707.88	712.62	700.12	-	-0.30%
5-07-2013	707.62	704.50	710.38	698.38	-	0.77%
5-06-2013	702.25	713.75	714.62	700.62	-	-2.70%
5-03-2013	721.75	727.62	734.88	716.62	-	-1.03%
5-02-2013	729.25	720.62	729.62	717.88	-	1.34%
5-01-2013	719.62	731.50	731.50	713.38	-	-1.45%
4-30-2013	730.25	716.25	736.62	705.12	-	2.10%
